Year,GeoAreaName,Location,Sex,Value
2000,Romania,,BOTHSEX,2859
2000,Romania,,FEMALE,521
2000,Romania,,MALE,2338
2005,Romania,,BOTHSEX,2630
2005,Romania,,MALE,2151
2005,Romania,,FEMALE,479
2010,Romania,,FEMALE,471
2010,Romania,,BOTHSEX,2712
2010,Romania,,MALE,2242
2015,Romania,,MALE,1935
2000,Estonia,,BOTHSEX,407
2000,Estonia,,FEMALE,94
2000,Estonia,,MALE,313
2005,Estonia,,BOTHSEX,307
2005,Estonia,,FEMALE,60
2005,Estonia,,MALE,247
2010,Estonia,,BOTHSEX,250
2010,Estonia,,FEMALE,47
2010,Estonia,,MALE,203
2015,Estonia,,BOTHSEX,209
2015,Romania,,BOTHSEX,2294
2015,Romania,,FEMALE,359
2019,Romania,,BOTHSEX,1886
2019,Romania,,FEMALE,331
2019,Romania,,MALE,1555
2000,Serbia,,FEMALE,651
2000,Serbia,,BOTHSEX,2190
2000,Serbia,,MALE,1538
2005,Serbia,,BOTHSEX,1852
2005,Serbia,,FEMALE,556
2015,Estonia,,FEMALE,38
2015,Estonia,,MALE,171
2019,Estonia,,BOTHSEX,197
2019,Estonia,,FEMALE,45
2019,Estonia,,MALE,152
2000,Finland,,BOTHSEX,1260
2000,Finland,,FEMALE,323
2000,Finland,,MALE,937
2005,Finland,,FEMALE,289
2005,Finland,,MALE,759
2005,Finland,,BOTHSEX,1048
2010,Finland,,BOTHSEX,997
2010,Finland,,FEMALE,253
2010,Finland,,MALE,743
2015,Finland,,BOTHSEX,769
2015,Finland,,FEMALE,185
2015,Finland,,MALE,584
2019,Finland,,BOTHSEX,846
2019,Finland,,FEMALE,213
2019,Finland,,MALE,633
2000,France,,FEMALE,3566
2000,France,,MALE,8349
2000,France,,BOTHSEX,11914
2005,France,,BOTHSEX,11689
2005,France,,FEMALE,3489
2005,France,,MALE,8200
2010,France,,BOTHSEX,11469
2010,France,,FEMALE,3385
2010,France,,MALE,8085
2015,France,,BOTHSEX,10208
2005,Serbia,,MALE,1297
2010,Serbia,,BOTHSEX,1544
2010,Serbia,,FEMALE,396
2010,Serbia,,MALE,1149
2015,Serbia,,BOTHSEX,1452
2015,Serbia,,FEMALE,383
2015,Serbia,,MALE,1069
2019,Serbia,,BOTHSEX,996
2019,Serbia,,FEMALE,282
2019,Serbia,,MALE,715
2015,France,,FEMALE,2802
2015,France,,MALE,7406
2019,France,,BOTHSEX,8961
2019,France,,FEMALE,2545
2019,France,,MALE,6416
2000,Georgia,,MALE,259
2000,Georgia,,BOTHSEX,322
2000,Georgia,,FEMALE,64
2005,Georgia,,FEMALE,55
2005,Georgia,,MALE,205
2005,Georgia,,BOTHSEX,260
2010,Georgia,,BOTHSEX,340
2010,Georgia,,FEMALE,61
2010,Georgia,,MALE,278
2015,Georgia,,BOTHSEX,424
2015,Georgia,,FEMALE,76
2015,Georgia,,MALE,348
2019,Georgia,,BOTHSEX,367
2019,Georgia,,FEMALE,62
2019,Georgia,,MALE,305
2000,Germany,,BOTHSEX,11777
2000,Germany,,FEMALE,3173
2000,Germany,,MALE,8604
2005,Germany,,BOTHSEX,10856
2005,Germany,,FEMALE,2922
2005,Germany,,MALE,7934
2010,Germany,,FEMALE,2791
2010,Germany,,MALE,7910
2010,Germany,,BOTHSEX,10701
2015,Germany,,BOTHSEX,10850
2015,Germany,,FEMALE,3018
2015,Germany,,MALE,7832
2019,Germany,,BOTHSEX,10284
2019,Germany,,FEMALE,2605
2019,Germany,,MALE,7680
2000,Greece,,BOTHSEX,383
2000,Greece,,FEMALE,84
2000,Greece,,MALE,299
2005,Greece,,BOTHSEX,409
2005,Greece,,FEMALE,79
2000,Slovakia,,FEMALE,141
2000,Slovakia,,BOTHSEX,766
2000,Slovakia,,MALE,626
2005,Slovakia,,BOTHSEX,737
2005,Slovakia,,FEMALE,107
2005,Slovakia,,MALE,630
2010,Slovakia,,MALE,627
2010,Slovakia,,BOTHSEX,736
2010,Slovakia,,FEMALE,109
2015,Slovakia,,BOTHSEX,675
2005,Greece,,MALE,331
2010,Greece,,MALE,338
2010,Greece,,FEMALE,41
2010,Greece,,BOTHSEX,379
2015,Greece,,BOTHSEX,537
2015,Greece,,FEMALE,108
2015,Greece,,MALE,429
2019,Greece,,BOTHSEX,533
2019,Greece,,FEMALE,102
2019,Greece,,MALE,431
2015,Slovakia,,MALE,579
2015,Slovakia,,FEMALE,96
2019,Slovakia,,BOTHSEX,660
2019,Slovakia,,MALE,564
2019,Slovakia,,FEMALE,96
2000,Slovenia,,BOTHSEX,635
2000,Slovenia,,FEMALE,170
2000,Slovenia,,MALE,466
2005,Slovenia,,FEMALE,121
2005,Slovenia,,BOTHSEX,534
2000,Hungary,,BOTHSEX,3411
2000,Hungary,,FEMALE,851
2000,Hungary,,MALE,2559
2005,Hungary,,BOTHSEX,2661
2005,Hungary,,FEMALE,612
2005,Hungary,,MALE,2049
2010,Hungary,,BOTHSEX,2533
2010,Hungary,,FEMALE,575
2010,Hungary,,MALE,1959
2015,Hungary,,BOTHSEX,1950
2015,Hungary,,FEMALE,508
2015,Hungary,,MALE,1442
2019,Hungary,,FEMALE,419
2019,Hungary,,MALE,1193
2019,Hungary,,BOTHSEX,1612
2000,Iceland,,BOTHSEX,37
2000,Iceland,,FEMALE,9
2000,Iceland,,MALE,28
2005,Iceland,,BOTHSEX,35
2005,Iceland,,FEMALE,12
2005,Slovenia,,MALE,413
2010,Slovenia,,BOTHSEX,423
2010,Slovenia,,FEMALE,79
2010,Slovenia,,MALE,344
2015,Slovenia,,BOTHSEX,436
2015,Slovenia,,MALE,343
2015,Slovenia,,FEMALE,93
2019,Slovenia,,FEMALE,86
2019,Slovenia,,BOTHSEX,411
2019,Slovenia,,MALE,325
2005,Iceland,,MALE,23
2010,Iceland,,BOTHSEX,41
2010,Iceland,,FEMALE,9
2010,Iceland,,MALE,32
2015,Iceland,,MALE,37
2015,Iceland,,BOTHSEX,47
2015,Iceland,,FEMALE,10
2019,Iceland,,BOTHSEX,40
2019,Iceland,,MALE,34
2019,Iceland,,FEMALE,7
2000,Ireland,,BOTHSEX,480
2000,Ireland,,FEMALE,91
2000,Ireland,,MALE,389
2005,Ireland,,FEMALE,105
2005,Ireland,,BOTHSEX,490
