Year,GeoAreaName,Type of waste treatment,Value
2004,Bulgaria,LANDFIL,11981941
2006,Bulgaria,INCINRT_EGY,782
2006,Bulgaria,OTHERWM,0
2006,Bulgaria,INCINRT,81641
2006,Bulgaria,LANDFIL,13302797
2006,Ireland,LANDFIL,13790
2006,Ireland,OTHERWM,24
2008,Ireland,LANDFIL,12583
2008,Ireland,INCINRT,20897
2008,Ireland,INCINRT_EGY,36297
2008,Ireland,OTHERWM,1
2010,Ireland,OTHERWM,0
2010,Ireland,INCINRT_EGY,44605
2010,Ireland,RECYCL,88500
2010,Ireland,LANDFIL,21011
2010,Ireland,INCINRT,19676
2012,Ireland,LANDFIL,15853
2008,Bulgaria,INCINRT,49759
2008,Bulgaria,OTHERWM,0
2008,Bulgaria,LANDFIL,12846297
2008,Bulgaria,INCINRT_EGY,0
2010,Bulgaria,RECYCL,391266
2010,Bulgaria,INCINRT,1762
2010,Bulgaria,LANDFIL,13501203
2010,Bulgaria,INCINRT_EGY,0
2010,Bulgaria,OTHERWM,0
2012,Bulgaria,OTHERWM,164883
2012,Bulgaria,RECYCL,356786
2012,Bulgaria,INCINRT,5352
2012,Ireland,INCINRT,13386
2012,Ireland,RECYCL,84931
2012,Ireland,OTHERWM,0
2012,Ireland,INCINRT_EGY,17508
2014,Ireland,OTHERWM,19200
2014,Ireland,INCINRT_EGY,32436
2014,Ireland,LANDFIL,37741
2014,Ireland,RECYCL,89564
2014,Ireland,INCINRT,13121
2016,Ireland,RECYCL,394126
2016,Ireland,OTHERWM,816
2016,Ireland,INCINRT,7488
2012,Bulgaria,INCINRT_EGY,188
2012,Bulgaria,LANDFIL,13322743
2014,Bulgaria,LANDFIL,12017033
2014,Bulgaria,INCINRT_EGY,333
2014,Bulgaria,OTHERWM,163064
2014,Bulgaria,RECYCL,222970
2014,Bulgaria,INCINRT,7171
2016,Bulgaria,LANDFIL,13059515
2016,Bulgaria,INCINRT_EGY,659
2016,Bulgaria,INCINRT,5259
2016,Bulgaria,OTHERWM,13021325
2016,Bulgaria,RECYCL,248036
2016,Ireland,LANDFIL,19120
2016,Ireland,INCINRT_EGY,34932
2018,Ireland,LANDFIL,15014
2018,Ireland,INCINRT,6846
2018,Ireland,INCINRT_EGY,71825
2018,Ireland,RECYCL,453667
2018,Ireland,OTHERWM,0
2020,Ireland,RECYCL,418032
2004,Italy,INCINRT_EGY,189364
2004,Italy,OTHERWM,0
2004,Italy,LANDFIL,615182
2018,Bulgaria,OTHERWM,13215461
2018,Bulgaria,LANDFIL,13295635
2018,Bulgaria,RECYCL,232003
2018,Bulgaria,INCINRT,3814
2018,Bulgaria,INCINRT_EGY,5016
2020,Bulgaria,RECYCL,265969
2020,Bulgaria,INCINRT_EGY,24566
2020,Bulgaria,LANDFIL,13336987
2020,Bulgaria,INCINRT,98152
2020,Bulgaria,OTHERWM,13293040
2005,Belarus,INCINRT,50200
2005,Belarus,OTHERWM,0
2004,Italy,INCINRT,539697
2006,Italy,LANDFIL,518527
2006,Italy,OTHERWM,0
2006,Italy,INCINRT,506582
2006,Italy,INCINRT_EGY,133011
2008,Italy,INCINRT,448750
2008,Italy,INCINRT_EGY,143783
2008,Italy,LANDFIL,690629
2008,Italy,OTHERWM,0
2005,Belarus,LANDFIL,19200
2005,Belarus,RECYCL,227400
2006,Belarus,INCINRT,54200
2006,Belarus,RECYCL,252900
2006,Belarus,OTHERWM,0
2006,Belarus,LANDFIL,16800
2007,Belarus,OTHERWM,0
2007,Belarus,RECYCL,344700
2007,Belarus,LANDFIL,34300
2010,Italy,INCINRT_EGY,120836
2010,Italy,RECYCL,14552
2010,Italy,INCINRT,382719
2010,Italy,OTHERWM,0
2010,Italy,LANDFIL,736999
2012,Italy,LANDFIL,1063650
2012,Italy,OTHERWM,0
2012,Italy,RECYCL,7652
2012,Italy,INCINRT,393680
2012,Italy,INCINRT_EGY,164144
2007,Belarus,INCINRT,41400
2008,Belarus,RECYCL,437100
2008,Belarus,INCINRT,39600
2008,Belarus,LANDFIL,61200
2008,Belarus,OTHERWM,0
2009,Belarus,LANDFIL,100000
2009,Belarus,RECYCL,675200
2009,Belarus,OTHERWM,0
2009,Belarus,INCINRT,34600
2014,Italy,INCINRT,407142
2014,Italy,INCINRT_EGY,76739
2014,Italy,OTHERWM,0
2014,Italy,RECYCL,14616
2014,Italy,LANDFIL,1268619
2016,Italy,INCINRT_EGY,123032
2016,Italy,LANDFIL,1289000
2016,Italy,INCINRT,374739
2016,Italy,RECYCL,12397
2016,Italy,OTHERWM,0
2010,Belarus,OTHERWM,0
2010,Belarus,RECYCL,774900
2010,Belarus,INCINRT,46000
2010,Belarus,LANDFIL,136600
2011,Belarus,LANDFIL,83700
2011,Belarus,OTHERWM,0
2011,Belarus,RECYCL,827600
2011,Belarus,INCINRT,57100
2012,Belarus,INCINRT,29050
2018,Italy,INCINRT_EGY,113443
2018,Italy,OTHERWM,0
2018,Italy,LANDFIL,1280412
2018,Italy,INCINRT,424890
2018,Italy,RECYCL,15504
2020,Italy,INCINRT,383737
2020,Italy,RECYCL,21044
2020,Italy,INCINRT_EGY,145172
2020,Italy,LANDFIL,1315206
2020,Italy,OTHERWM,0
2012,Belarus,OTHERWM,0
2012,Belarus,LANDFIL,123680
2012,Belarus,RECYCL,1324330
2013,Belarus,INCINRT,21250
2013,Belarus,LANDFIL,124720
2013,Belarus,OTHERWM,0
2013,Belarus,RECYCL,1091670
2014,Belarus,LANDFIL,153560
2014,Belarus,OTHERWM,0
2004,Kazakhstan,RECYCL,17680272
2004,Kazakhstan,LANDFIL,170632.29688
2004,Kazakhstan,INCINRT,91314
2004,Kazakhstan,OTHERWM,10461900
2005,Kazakhstan,LANDFIL,104829.99219
2005,Kazakhstan,OTHERWM,6427427
2005,Kazakhstan,INCINRT,56099.83594
2005,Kazakhstan,RECYCL,10862084
2006,Kazakhstan,LANDFIL,365585.53125
2006,Kazakhstan,INCINRT,195643.32813
2006,Kazakhstan,RECYCL,37880576
2006,Kazakhstan,OTHERWM,22414692
2014,Belarus,INCINRT,59290
2014,Belarus,RECYCL,1242210
2015,Belarus,OTHERWM,0
2015,Belarus,RECYCL,889780
2015,Belarus,LANDFIL,99280
2015,Belarus,INCINRT,24510
2016,Belarus,RECYCL,1201580
2016,Belarus,INCINRT,33810
2016,Belarus,OTHERWM,0
2007,Kazakhstan,OTHERWM,42712852
2007,Kazakhstan,LANDFIL,2168479.75
2007,Kazakhstan,RECYCL,237619312
2007,Kazakhstan,INCINRT,1227241.875
2008,Kazakhstan,INCINRT,1449912.25
2008,Kazakhstan,OTHERWM,85110312
2008,Kazakhstan,LANDFIL,2561928
2008,Kazakhstan,RECYCL,280732896
2009,Kazakhstan,RECYCL,59162456
2009,Kazakhstan,INCINRT,305558.6875
2009,Kazakhstan,LANDFIL,570977
2009,Kazakhstan,OTHERWM,46028780
2016,Belarus,LANDFIL,115960
2017,Belarus,RECYCL,1047870
2017,Belarus,INCINRT,49820
2017,Belarus,OTHERWM,0
2017,Belarus,LANDFIL,110730
2018,Belarus,LANDFIL,123918
2018,Belarus,RECYCL,2041936
2018,Belarus,OTHERWM,0
2018,Belarus,INCINRT,29069
2010,Kazakhstan,LANDFIL,4484692
2010,Kazakhstan,RECYCL,19586874
2010,Kazakhstan,INCINRT,648117.5
