Year,GeoAreaName,Education level,Location,Quantile,Sex,Value
2016,Albania,UPPSEC,ALLAREA,_T,FEMALE,79
2016,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,78
2016,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,96
2016,Albania,LOWSEC,ALLAREA,_T,MALE,96
2017,Albania,UPPSEC,RURAL,_T,FEMALE,70
2017,Albania,UPPSEC,RURAL,Q3,FEMALE,78
2017,Albania,UPPSEC,URBAN,Q3,FEMALE,81
2017,Albania,UPPSEC,RURAL,Q3,BOTHSEX,84
2017,Albania,PRIMAR,URBAN,Q4,MALE,96
2017,Albania,PRIMAR,URBAN,Q5,BOTHSEX,98
2017,Albania,PRIMAR,URBAN,Q4,FEMALE,97
2017,Albania,LOWSEC,URBAN,Q1,BOTHSEX,70
2017,Albania,LOWSEC,URBAN,Q1,MALE,68
2017,Albania,LOWSEC,ALLAREA,Q3,FEMALE,96
2017,Albania,LOWSEC,ALLAREA,Q4,FEMALE,97
2017,Albania,LOWSEC,ALLAREA,Q4,BOTHSEX,97
2017,Albania,LOWSEC,ALLAREA,Q1,MALE,89
2017,Albania,LOWSEC,ALLAREA,Q2,BOTHSEX,91
2017,Albania,LOWSEC,ALLAREA,Q1,BOTHSEX,87
2017,Albania,LOWSEC,ALLAREA,Q5,BOTHSEX,99
2017,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,80
2017,Albania,UPPSEC,URBAN,Q5,FEMALE,99
2017,Albania,UPPSEC,RURAL,Q1,FEMALE,62
2017,Albania,UPPSEC,RURAL,Q2,BOTHSEX,76
2017,Albania,LOWSEC,URBAN,Q5,FEMALE,100
2017,Albania,UPPSEC,RURAL,Q2,FEMALE,76
2017,Albania,UPPSEC,ALLAREA,Q3,MALE,79
2017,Albania,UPPSEC,ALLAREA,Q3,FEMALE,80
2017,Albania,UPPSEC,ALLAREA,Q5,BOTHSEX,97
2017,Albania,UPPSEC,URBAN,Q4,MALE,88
2017,Albania,UPPSEC,URBAN,Q5,BOTHSEX,97
2017,Albania,UPPSEC,RURAL,Q2,MALE,76
2017,Albania,UPPSEC,RURAL,Q1,BOTHSEX,62
2017,Albania,UPPSEC,RURAL,_T,BOTHSEX,72
2017,Albania,UPPSEC,URBAN,_T,FEMALE,89
2017,Albania,UPPSEC,ALLAREA,Q2,MALE,71
2017,Albania,UPPSEC,ALLAREA,Q4,BOTHSEX,88
2017,Albania,UPPSEC,ALLAREA,Q2,FEMALE,76
2017,Albania,UPPSEC,URBAN,Q2,MALE,59
2017,Albania,PRIMAR,RURAL,Q4,MALE,76
2017,Albania,PRIMAR,RURAL,Q4,BOTHSEX,83
2017,Albania,PRIMAR,RURAL,Q4,FEMALE,91
2017,Albania,PRIMAR,RURAL,Q2,FEMALE,94
2017,Albania,PRIMAR,RURAL,Q3,BOTHSEX,97
2017,Albania,PRIMAR,RURAL,Q2,MALE,94
2017,Albania,UPPSEC,RURAL,Q4,FEMALE,67
2017,Albania,UPPSEC,URBAN,Q2,BOTHSEX,68
2017,Albania,UPPSEC,ALLAREA,Q5,MALE,96
2017,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,95
2017,Albania,PRIMAR,URBAN,_T,FEMALE,96
2017,Albania,PRIMAR,URBAN,Q1,BOTHSEX,97
2017,Albania,PRIMAR,ALLAREA,Q3,MALE,97
2017,Albania,PRIMAR,ALLAREA,Q3,FEMALE,94
2017,Albania,PRIMAR,URBAN,Q1,FEMALE,97
2017,Albania,PRIMAR,URBAN,Q1,MALE,98
2017,Albania,PRIMAR,URBAN,Q2,MALE,95
2017,Albania,PRIMAR,URBAN,Q2,BOTHSEX,93
2017,Albania,PRIMAR,URBAN,Q2,FEMALE,92
2017,Albania,PRIMAR,RURAL,Q5,FEMALE,0
2017,Albania,PRIMAR,RURAL,Q5,BOTHSEX,97
2017,Albania,PRIMAR,URBAN,Q3,BOTHSEX,95
2017,Albania,PRIMAR,URBAN,Q4,BOTHSEX,96
2017,Albania,PRIMAR,URBAN,Q3,MALE,97
2017,Albania,LOWSEC,URBAN,Q2,MALE,89
2017,Albania,LOWSEC,URBAN,Q2,FEMALE,87
2017,Albania,LOWSEC,URBAN,Q4,BOTHSEX,97
2017,Albania,LOWSEC,URBAN,Q3,MALE,87
2017,Albania,LOWSEC,URBAN,_T,FEMALE,95
2017,Albania,LOWSEC,RURAL,Q2,BOTHSEX,94
2017,Albania,LOWSEC,RURAL,Q2,FEMALE,96
2017,Albania,LOWSEC,RURAL,Q1,MALE,92
2017,Albania,LOWSEC,RURAL,_T,FEMALE,93
2017,Albania,LOWSEC,RURAL,_T,MALE,93
2017,Albania,LOWSEC,RURAL,Q4,BOTHSEX,98
2017,Albania,LOWSEC,RURAL,Q2,MALE,92
2017,Albania,LOWSEC,RURAL,Q3,MALE,97
2017,Albania,LOWSEC,RURAL,Q3,FEMALE,97
2017,Albania,PRIMAR,ALLAREA,Q4,FEMALE,96
2017,Albania,PRIMAR,URBAN,Q3,FEMALE,94
2017,Albania,PRIMAR,RURAL,Q5,MALE,0
2017,Albania,PRIMAR,URBAN,_T,BOTHSEX,96
2017,Albania,LOWSEC,URBAN,Q5,BOTHSEX,100
2017,Albania,LOWSEC,URBAN,Q4,FEMALE,98
2017,Albania,LOWSEC,URBAN,Q4,MALE,96
2017,Albania,UPPSEC,RURAL,_T,MALE,74
2017,Albania,UPPSEC,URBAN,Q3,MALE,74
2017,Albania,LOWSEC,ALLAREA,_T,FEMALE,94
2017,Albania,LOWSEC,ALLAREA,_T,MALE,93
2017,Albania,PRIMAR,URBAN,Q5,FEMALE,99
2017,Albania,PRIMAR,URBAN,Q5,MALE,97
