Year,GeoAreaName,Education level,Location,Quantile,Value
2015,Cyprus,UPPSEC,ALLAREA,_T,1.06046
2016,Cyprus,UPPSEC,ALLAREA,_T,1.07227
2016,Cyprus,LOWSEC,ALLAREA,_T,1.05056
2009,Albania,UPPSEC,RURAL,Q5,0
2009,Albania,UPPSEC,URBAN,_T,1.00711
2009,Albania,UPPSEC,ALLAREA,Q2,0.9125
2009,Albania,UPPSEC,ALLAREA,Q1,0.69309
2009,Albania,PRIMAR,ALLAREA,Q1,0.9969
2009,Albania,PRIMAR,ALLAREA,Q2,0.98347
2009,Albania,PRIMAR,URBAN,Q3,1.00203
2009,Albania,LOWSEC,URBAN,Q4,1.08504
2016,Cyprus,PRIMAR,ALLAREA,_T,1.0065
2017,Cyprus,PRIMAR,ALLAREA,_T,1
2017,Cyprus,LOWSEC,ALLAREA,_T,1.01674
2017,Cyprus,UPPSEC,ALLAREA,_T,1.02898
2018,Cyprus,UPPSEC,ALLAREA,_T,1.07785
2018,Cyprus,LOWSEC,ALLAREA,_T,1.0344
2018,Cyprus,PRIMAR,ALLAREA,_T,1.009
2019,Cyprus,PRIMAR,ALLAREA,_T,1.00829
2019,Cyprus,LOWSEC,ALLAREA,_T,1.07254
2019,Cyprus,UPPSEC,ALLAREA,_T,1.00568
2020,Cyprus,UPPSEC,ALLAREA,_T,1.05653
2020,Cyprus,LOWSEC,ALLAREA,_T,1.02511
2020,Cyprus,PRIMAR,ALLAREA,_T,1.00642
2021,Cyprus,PRIMAR,ALLAREA,_T,1.0084
2021,Cyprus,LOWSEC,ALLAREA,_T,1.00785
2021,Cyprus,UPPSEC,ALLAREA,_T,1.04062
2000,Czechia,UPPSEC,ALLAREA,_T,1.00646
2000,Czechia,LOWSEC,ALLAREA,_T,1
2000,Czechia,PRIMAR,ALLAREA,_T,1
2016,Armenia,LOWSEC,RURAL,Q5,0
2016,Armenia,LOWSEC,RURAL,Q4,0
2016,Armenia,LOWSEC,URBAN,Q1,0
2016,Armenia,LOWSEC,URBAN,_T,1.0207
2016,Armenia,PRIMAR,ALLAREA,_T,0.9972
2016,Armenia,UPPSEC,URBAN,Q1,0
2016,Armenia,UPPSEC,RURAL,Q5,0
2016,Armenia,UPPSEC,URBAN,_T,1.21122
2016,Armenia,UPPSEC,URBAN,Q2,1.38518
2016,Armenia,UPPSEC,URBAN,Q5,1.21576
2016,Armenia,UPPSEC,URBAN,Q4,1.18097
2016,Armenia,PRIMAR,ALLAREA,Q2,0.99323
2016,Armenia,PRIMAR,ALLAREA,Q1,0.99903
2016,Armenia,UPPSEC,ALLAREA,Q2,1.32812
2016,Armenia,PRIMAR,URBAN,Q5,1
2009,Albania,PRIMAR,ALLAREA,Q5,1.00053
2009,Albania,LOWSEC,URBAN,Q5,0.99434
2009,Albania,UPPSEC,RURAL,_T,0.76569
2009,Albania,UPPSEC,ALLAREA,Q3,0.63865
2009,Albania,UPPSEC,ALLAREA,Q4,1.02076
2009,Albania,UPPSEC,RURAL,Q3,0.62646
2009,Albania,UPPSEC,RURAL,Q4,0
2009,Albania,LOWSEC,ALLAREA,Q5,0.98018
2016,Armenia,PRIMAR,ALLAREA,Q3,0.99234
2016,Armenia,LOWSEC,URBAN,Q2,0
2016,Armenia,PRIMAR,RURAL,_T,0.98969
2016,Armenia,UPPSEC,RURAL,Q4,0
2016,Armenia,UPPSEC,RURAL,Q3,1.2307
2016,Armenia,UPPSEC,ALLAREA,Q4,1.18545
2016,Armenia,UPPSEC,ALLAREA,Q3,1.18077
2016,Armenia,UPPSEC,RURAL,_T,1.24478
2009,Albania,LOWSEC,RURAL,_T,0.80228
2009,Albania,LOWSEC,ALLAREA,Q3,0.99165
2009,Albania,LOWSEC,ALLAREA,Q2,0.74362
2009,Albania,LOWSEC,ALLAREA,Q4,1.01674
2009,Albania,PRIMAR,RURAL,Q2,0.99648
2009,Albania,LOWSEC,RURAL,Q3,0.98766
2009,Albania,PRIMAR,RURAL,Q1,1.00289
2009,Albania,LOWSEC,RURAL,Q5,0
2016,Armenia,PRIMAR,URBAN,Q1,0
2016,Armenia,LOWSEC,ALLAREA,Q5,1.00619
2016,Armenia,LOWSEC,ALLAREA,Q1,1.13835
2016,Armenia,LOWSEC,ALLAREA,Q4,1
2016,Armenia,PRIMAR,RURAL,Q3,1
2016,Armenia,LOWSEC,RURAL,Q3,1.08785
2016,Armenia,LOWSEC,RURAL,Q2,1.03501
2016,Armenia,PRIMAR,RURAL,Q2,0.99168
2016,Armenia,PRIMAR,RURAL,Q1,0.98481
2016,Armenia,UPPSEC,ALLAREA,Q5,1.2436
2016,Armenia,UPPSEC,URBAN,Q3,1.14517
2016,Armenia,LOWSEC,RURAL,_T,1.08761
2016,Armenia,PRIMAR,RURAL,Q5,0
2016,Armenia,PRIMAR,RURAL,Q4,0
2016,Armenia,UPPSEC,ALLAREA,Q1,1.17788
2016,Armenia,LOWSEC,ALLAREA,_T,1.04527
2001,Czechia,PRIMAR,ALLAREA,_T,1
2001,Czechia,LOWSEC,ALLAREA,_T,1
2001,Czechia,UPPSEC,ALLAREA,_T,1.0086
2002,Czechia,UPPSEC,ALLAREA,_T,1.01074
