Year,GeoAreaName,IHR Capacity,Value
2011,Cyprus,IHR03,35
2011,Cyprus,IHR07,0
2011,Cyprus,IHR05,12
2010,Croatia,IHR11,100
2010,Croatia,IHR06,100
2010,Croatia,IHR01,100
2010,Croatia,IHR02,75
2010,Croatia,IHR07,100
2011,Cyprus,IHR06,43
2011,Cyprus,IHR08,10
2011,Cyprus,IHR12,17
2013,Cyprus,IHR02,100
2013,Cyprus,IHR01,75
2010,Croatia,IHR08,100
2010,Croatia,IHR09,76
2010,Croatia,IHR10,92
2010,Croatia,IHR03,100
2010,Croatia,IHR04,100
2010,Croatia,IHR05,100
2010,Croatia,IHR12,100
2010,Croatia,IHR13,93
2011,Croatia,IHR02,90
2011,Croatia,IHR03,100
2013,Cyprus,IHR06,71
2013,Cyprus,IHR07,0
2013,Cyprus,IHR13,100
2013,Cyprus,IHR09,97
2013,Cyprus,IHR05,28
2011,Croatia,IHR07,100
2011,Croatia,IHR08,100
2011,Croatia,IHR09,70
2011,Croatia,IHR11,100
2011,Croatia,IHR12,100
2011,Croatia,IHR13,100
2011,Croatia,IHR01,100
2011,Croatia,IHR04,100
2011,Croatia,IHR05,77
2011,Croatia,IHR06,100
2013,Cyprus,IHR04,89
2013,Cyprus,IHR03,60
2013,Cyprus,IHR12,54
2013,Cyprus,IHR11,100
2013,Cyprus,IHR10,89
2011,Croatia,IHR10,100
2013,Croatia,IHR01,100
2013,Croatia,IHR08,87
2013,Croatia,IHR13,100
2013,Croatia,IHR12,100
2013,Cyprus,IHR08,14
2014,Cyprus,IHR05,28
2014,Cyprus,IHR06,57
2014,Cyprus,IHR07,0
2014,Cyprus,IHR08,14
2013,Croatia,IHR11,100
2013,Croatia,IHR10,100
2013,Croatia,IHR09,86
2013,Croatia,IHR03,85
2013,Croatia,IHR02,90
2014,Cyprus,IHR01,75
2014,Cyprus,IHR02,100
2014,Cyprus,IHR03,60
2014,Cyprus,IHR04,89
2014,Cyprus,IHR09,97
2013,Croatia,IHR06,100
2013,Croatia,IHR05,100
2013,Croatia,IHR04,100
2013,Croatia,IHR07,100
2014,Croatia,IHR07,40
2014,Croatia,IHR12,85
2014,Croatia,IHR06,43
2014,Croatia,IHR13,62
2014,Croatia,IHR01,50
2014,Croatia,IHR02,36
2019,Bosnia and Herzegovina,SPAR04,80
2019,Bosnia and Herzegovina,SPAR05,47
2019,Bosnia and Herzegovina,SPAR06,30
2019,Bosnia and Herzegovina,SPAR10,20
2019,Bosnia and Herzegovina,SPAR07,20
2019,Bosnia and Herzegovina,SPAR11,0
2014,Cyprus,IHR10,89
2014,Cyprus,IHR11,100
2014,Cyprus,IHR12,0
2014,Cyprus,IHR13,100
2016,Cyprus,IHR06,100
2016,Cyprus,IHR09,86
2016,Cyprus,IHR10,100
2016,Cyprus,IHR11,100
2016,Cyprus,IHR12,100
2016,Cyprus,IHR01,100
2014,Croatia,IHR08,76
2014,Croatia,IHR09,34
2014,Croatia,IHR10,100
2014,Croatia,IHR11,87
2014,Croatia,IHR05,90
2014,Croatia,IHR04,83
2014,Croatia,IHR03,75
2015,Croatia,IHR01,67
2015,Croatia,IHR07,40
2015,Croatia,IHR08,76
2016,Cyprus,IHR02,100
2016,Cyprus,IHR03,100
2016,Cyprus,IHR04,100
2016,Cyprus,IHR13,100
2016,Cyprus,IHR08,63
2019,Bosnia and Herzegovina,SPAR12,40
2019,Bosnia and Herzegovina,SPAR13,40
2019,Bosnia and Herzegovina,SPAR08,27
2019,Bosnia and Herzegovina,SPAR09,33
2021,Bosnia and Herzegovina,SPAR2-C11,7
2021,Bosnia and Herzegovina,SPAR2-C12,20
2015,Croatia,IHR09,91
2015,Croatia,IHR10,100
2015,Croatia,IHR02,37
2015,Croatia,IHR03,75
2015,Croatia,IHR06,43
2015,Croatia,IHR05,90
2015,Croatia,IHR04,83
2015,Croatia,IHR11,87
2015,Croatia,IHR12,85
2015,Croatia,IHR13,62
2016,Cyprus,IHR07,60
2016,Cyprus,IHR05,100
2017,Cyprus,IHR06,100
2017,Cyprus,IHR11,100
2017,Cyprus,IHR12,100
2016,Croatia,IHR04,83
2016,Croatia,IHR06,43
2016,Croatia,IHR11,87
2016,Croatia,IHR05,90
2016,Croatia,IHR01,50
2021,Bosnia and Herzegovina,SPAR2-C13,40
2021,Bosnia and Herzegovina,SPAR2-C07,60
2021,Bosnia and Herzegovina,SPAR2-C14,40
2021,Bosnia and Herzegovina,SPAR2-C01,30
2021,Bosnia and Herzegovina,SPAR2-C02,47
2017,Cyprus,IHR13,100
2017,Cyprus,IHR01,100
2017,Cyprus,IHR02,100
2017,Cyprus,IHR03,100
2017,Cyprus,IHR04,100
2017,Cyprus,IHR05,100
2017,Cyprus,IHR07,80
2017,Cyprus,IHR08,63
2017,Cyprus,IHR09,100
2017,Cyprus,IHR10,100
2021,Bosnia and Herzegovina,SPAR2-C03,70
2021,Bosnia and Herzegovina,SPAR2-C08,53
2021,Bosnia and Herzegovina,SPAR2-C09,27
2021,Bosnia and Herzegovina,SPAR2-C10,33
2021,Bosnia and Herzegovina,SPAR2-C15,40
2016,Croatia,IHR02,37
2016,Croatia,IHR03,75
2016,Croatia,IHR07,40
2016,Croatia,IHR08,76
2016,Croatia,IHR09,91
2018,Cyprus,SPAR12,100
2018,Cyprus,SPAR03,80
2018,Cyprus,SPAR04,100
2018,Cyprus,SPAR05,73
2018,Cyprus,SPAR13,40
2018,Cyprus,SPAR11,70
2016,Croatia,IHR10,100
2016,Croatia,IHR12,85
2016,Croatia,IHR13,62
2017,Croatia,IHR01,50
2017,Croatia,IHR02,37
2018,Cyprus,SPAR10,60
2018,Cyprus,SPAR08,87
2018,Cyprus,SPAR01,67
2018,Cyprus,SPAR02,70
2018,Cyprus,SPAR06,50
2018,Cyprus,SPAR07,100
2017,Croatia,IHR08,76
2017,Croatia,IHR09,91
2017,Croatia,IHR10,100
2017,Croatia,IHR11,87
2017,Croatia,IHR03,75
2018,Cyprus,SPAR09,60
2019,Cyprus,SPAR02,70
2019,Cyprus,SPAR03,80
2019,Cyprus,SPAR04,100
2019,Cyprus,SPAR05,73
2019,Cyprus,SPAR06,50
2019,Cyprus,SPAR11,80
2019,Cyprus,SPAR12,100
2019,Cyprus,SPAR13,40
2019,Cyprus,SPAR07,100
