Year,GeoAreaName,Type of renewable technology,Value
2006,Belarus,SOLAR,0
2006,Belarus,WIND,0
2007,Belarus,GEOTHERMAL,0
2007,Belarus,HYDROPOWER,0
2007,Belarus,SOLAR,0
2016,Bosnia and Herzegovina,ALL,3.72
2016,Bosnia and Herzegovina,GEOTHERMAL,0.1
2016,Bosnia and Herzegovina,MARINE,0
2016,Bosnia and Herzegovina,WIND,0
2016,Bosnia and Herzegovina,HYDROPOWER,0.03
2018,Albania,WIND,0
2018,Albania,MULTIPLE,0
2019,Albania,HYDROPOWER,0
2019,Albania,MULTIPLE,3.75
2019,Albania,GEOTHERMAL,0
2007,Belarus,WIND,0
2007,Belarus,ALL,0.27
2007,Belarus,BIOENERGY,0.27
2007,Belarus,MARINE,0
2007,Belarus,MULTIPLE,0
2019,Albania,MARINE,0
2019,Albania,ALL,3.75
2019,Albania,SOLAR,0
2019,Albania,WIND,0
2019,Albania,BIOENERGY,0
2020,Albania,SOLAR,0
2020,Albania,WIND,0
2020,Albania,GEOTHERMAL,0
2020,Albania,MULTIPLE,0
2020,Albania,HYDROPOWER,0
2016,Bosnia and Herzegovina,SOLAR,3.27
2016,Bosnia and Herzegovina,BIOENERGY,0.18
2017,Bosnia and Herzegovina,BIOENERGY,10.31
2017,Bosnia and Herzegovina,SOLAR,0.23
2017,Bosnia and Herzegovina,WIND,72.29
2017,Bosnia and Herzegovina,MARINE,0
2017,Bosnia and Herzegovina,MULTIPLE,0.03
2017,Bosnia and Herzegovina,GEOTHERMAL,0.34
2017,Bosnia and Herzegovina,HYDROPOWER,0.01
2017,Bosnia and Herzegovina,ALL,83.19
2008,Belarus,ALL,0.06
2008,Belarus,WIND,0
2008,Belarus,SOLAR,0
2008,Belarus,MULTIPLE,0
2008,Belarus,BIOENERGY,0.06
2020,Albania,ALL,0
2020,Albania,MARINE,0
2020,Albania,BIOENERGY,0
2021,Albania,MARINE,0
2021,Albania,ALL,54.31
2018,Bosnia and Herzegovina,BIOENERGY,0
2018,Bosnia and Herzegovina,ALL,1.34
2018,Bosnia and Herzegovina,HYDROPOWER,0
2018,Bosnia and Herzegovina,MARINE,0
2018,Bosnia and Herzegovina,SOLAR,0.34
2008,Belarus,HYDROPOWER,0
2008,Belarus,MARINE,0
2008,Belarus,GEOTHERMAL,0
2009,Belarus,SOLAR,0
2009,Belarus,WIND,0
2009,Belarus,ALL,0.18
2009,Belarus,MULTIPLE,0
2009,Belarus,MARINE,0
2009,Belarus,GEOTHERMAL,0
2009,Belarus,HYDROPOWER,0.02
2018,Bosnia and Herzegovina,WIND,0
2018,Bosnia and Herzegovina,GEOTHERMAL,0
2018,Bosnia and Herzegovina,MULTIPLE,1
2019,Bosnia and Herzegovina,MULTIPLE,2.93
2019,Bosnia and Herzegovina,BIOENERGY,0
2009,Belarus,BIOENERGY,0.16
2010,Belarus,GEOTHERMAL,0
2010,Belarus,BIOENERGY,0.05
2010,Belarus,ALL,0.13
2010,Belarus,WIND,0
2019,Bosnia and Herzegovina,GEOTHERMAL,0
2019,Bosnia and Herzegovina,SOLAR,0.45
2019,Bosnia and Herzegovina,HYDROPOWER,17.39
2019,Bosnia and Herzegovina,ALL,20.76
2019,Bosnia and Herzegovina,WIND,0
2021,Albania,SOLAR,10.07
2021,Albania,BIOENERGY,0
2021,Albania,HYDROPOWER,44.24
