Year,GeoAreaName,Age,Name of non-communicable disease,Sex,Value
2010,Romania,30-70,,FEMALE,15.4
2010,Romania,30-70,,MALE,31.3
2015,Romania,30-70,,BOTHSEX,21.7
2015,Romania,30-70,,FEMALE,14.3
2015,Romania,30-70,,MALE,29.5
2019,Romania,30-70,,BOTHSEX,21
2019,Romania,30-70,,FEMALE,13.6
2019,Romania,30-70,,MALE,28.6
2000,Serbia,30-70,,BOTHSEX,29.5
2000,Serbia,30-70,,FEMALE,22.7
2000,Serbia,30-70,,MALE,36.5
2005,Serbia,30-70,,BOTHSEX,27.2
2005,Serbia,30-70,,MALE,33.9
2005,Serbia,30-70,,FEMALE,20.6
2010,Serbia,30-70,,BOTHSEX,24.6
2010,Serbia,30-70,,MALE,31.1
2010,Serbia,30-70,,FEMALE,18.2
2015,Serbia,30-70,,BOTHSEX,22.2
2015,Serbia,30-70,,FEMALE,16
2015,Serbia,30-70,,MALE,28.5
2019,Serbia,30-70,,FEMALE,15.9
2019,Serbia,30-70,,BOTHSEX,22
2019,Serbia,30-70,,MALE,28.3
2000,Slovakia,30-70,,FEMALE,16.5
2000,Slovakia,30-70,,BOTHSEX,25.4
2000,Slovakia,30-70,,MALE,35.2
2005,Slovakia,30-70,,BOTHSEX,23
2005,Slovakia,30-70,,FEMALE,14.8
2005,Slovakia,30-70,,MALE,32.2
2010,Slovakia,30-70,,MALE,28.6
2010,Slovakia,30-70,,FEMALE,13.2
2010,Slovakia,30-70,,BOTHSEX,20.5
2015,Slovakia,30-70,,BOTHSEX,17.5
2015,Slovakia,30-70,,MALE,24.1
2015,Slovakia,30-70,,FEMALE,11.5
2019,Slovakia,30-70,,FEMALE,10.4
2019,Slovakia,30-70,,BOTHSEX,15.5
2019,Slovakia,30-70,,MALE,21
2000,Slovenia,30-70,,FEMALE,12
2000,Slovenia,30-70,,BOTHSEX,18.5
2000,Slovenia,30-70,,MALE,25.4
2005,Slovenia,30-70,,BOTHSEX,16.1
2005,Slovenia,30-70,,FEMALE,10.7
2005,Slovenia,30-70,,MALE,21.7
2010,Slovenia,30-70,,MALE,18
2010,Slovenia,30-70,,FEMALE,8.9
2010,Slovenia,30-70,,BOTHSEX,13.5
2015,Slovenia,30-70,,FEMALE,9
2015,Slovenia,30-70,,MALE,16.5
2015,Slovenia,30-70,,BOTHSEX,12.8
2019,Slovenia,30-70,,MALE,14.8
2019,Slovenia,30-70,,FEMALE,8
2019,Slovenia,30-70,,BOTHSEX,11.4
2000,Spain,30-70,,BOTHSEX,13.7
2000,Spain,30-70,,FEMALE,8.2
2000,Spain,30-70,,MALE,19.3
2005,Spain,30-70,,BOTHSEX,12.4
2005,Spain,30-70,,FEMALE,7.4
2005,Spain,30-70,,MALE,17.5
2010,Spain,30-70,,BOTHSEX,11
2010,Spain,30-70,,FEMALE,6.7
2010,Spain,30-70,,MALE,15.4
2015,Spain,30-70,,BOTHSEX,10.3
2015,Spain,30-70,,FEMALE,6.6
2015,Spain,30-70,,MALE,14
2019,Spain,30-70,,BOTHSEX,9.6
2019,Spain,30-70,,FEMALE,6.5
2019,Spain,30-70,,MALE,12.8
2000,Sweden,30-70,,BOTHSEX,13.2
2000,Sweden,30-70,,FEMALE,10.6
2000,Sweden,30-70,,MALE,15.8
2005,Sweden,30-70,,BOTHSEX,11.8
2005,Sweden,30-70,,FEMALE,9.7
2005,Sweden,30-70,,MALE,13.9
2010,Sweden,30-70,,BOTHSEX,10.4
2010,Sweden,30-70,,FEMALE,8.6
2010,Sweden,30-70,,MALE,12.1
2015,Sweden,30-70,,MALE,10.6
2015,Sweden,30-70,,FEMALE,7.8
2015,Sweden,30-70,,BOTHSEX,9.2
2019,Sweden,30-70,,BOTHSEX,8.4
2019,Sweden,30-70,,FEMALE,7.1
2019,Sweden,30-70,,MALE,9.6
2000,Switzerland,30-70,,BOTHSEX,12.5
2000,Switzerland,30-70,,FEMALE,9
2000,Switzerland,30-70,,MALE,16.3
2005,Switzerland,30-70,,BOTHSEX,10.8
