Year,GeoAreaName,Age,Freq,Location,Sex,Value
2020,Bulgaria,ALLAGE,,,BOTHSEX,201.6
2020,Bulgaria,15+,,,MALE,<100
2020,Bulgaria,15+,,,FEMALE,<100
2015,Belarus,15+,,,FEMALE,NaN
2015,Belarus,15+,,,MALE,NaN
2015,Kyrgyzstan,ALLAGE,,,BOTHSEX,NaN
2015,Kyrgyzstan,15+,,,MALE,NaN
2016,Kyrgyzstan,15+,,,MALE,NaN
2016,Kyrgyzstan,15+,,,FEMALE,NaN
2016,Kyrgyzstan,ALLAGE,,,BOTHSEX,NaN
2017,Kyrgyzstan,15+,,,FEMALE,106.3
2017,Kyrgyzstan,15+,,,MALE,113.6
2017,Kyrgyzstan,ALLAGE,,,BOTHSEX,<100
2018,Kyrgyzstan,ALLAGE,,,BOTHSEX,<100
2018,Kyrgyzstan,15+,,,MALE,124.3
2015,Sweden,15+,,,MALE,<100
2015,Sweden,ALLAGE,,,BOTHSEX,<100
2015,Sweden,15+,,,FEMALE,<100
2016,Sweden,ALLAGE,,,BOTHSEX,<100
2016,Sweden,15+,,,FEMALE,<100
2016,Sweden,15+,,,MALE,<100
2017,Sweden,ALLAGE,,,BOTHSEX,102.5
2017,Sweden,15+,,,FEMALE,<100
2017,Sweden,15+,,,MALE,<100
2015,Belarus,ALLAGE,,,BOTHSEX,NaN
2016,Belarus,15+,,,MALE,NaN
2016,Belarus,15+,,,FEMALE,NaN
2016,Belarus,ALLAGE,,,BOTHSEX,NaN
2017,Belarus,15+,,,MALE,NaN
2017,Belarus,15+,,,FEMALE,NaN
2017,Belarus,ALLAGE,,,BOTHSEX,NaN
2018,Belarus,ALLAGE,,,BOTHSEX,NaN
2018,Belarus,15+,,,MALE,NaN
2018,Belarus,15+,,,FEMALE,NaN
2018,Kyrgyzstan,15+,,,FEMALE,118.8
2019,Kyrgyzstan,15+,,,MALE,136.9
2019,Kyrgyzstan,15+,,,FEMALE,140.5
2019,Kyrgyzstan,ALLAGE,,,BOTHSEX,<100
2020,Kyrgyzstan,ALLAGE,,,BOTHSEX,<100
2020,Kyrgyzstan,15+,,,FEMALE,139.6
2020,Kyrgyzstan,15+,,,MALE,140.6
2015,Latvia,ALLAGE,,,BOTHSEX,<100
2015,Latvia,15+,,,FEMALE,<100
2015,Latvia,15+,,,MALE,<100
2016,Latvia,15+,,,MALE,<100
2016,Latvia,15+,,,FEMALE,<100
2016,Latvia,ALLAGE,,,BOTHSEX,<100
2017,Latvia,15+,,,FEMALE,<100
2017,Latvia,ALLAGE,,,BOTHSEX,<100
2017,Latvia,15+,,,MALE,<100
2018,Latvia,15+,,,FEMALE,<100
2018,Latvia,15+,,,MALE,<100
2019,Belarus,ALLAGE,,,BOTHSEX,NaN
2019,Belarus,15+,,,MALE,NaN
2019,Belarus,15+,,,FEMALE,NaN
2020,Belarus,15+,,,MALE,NaN
2020,Belarus,15+,,,FEMALE,NaN
2020,Belarus,ALLAGE,,,BOTHSEX,NaN
2015,Croatia,15+,,,MALE,<100
2015,Croatia,ALLAGE,,,BOTHSEX,<100
2015,Croatia,15+,,,FEMALE,<100
2016,Croatia,15+,,,FEMALE,<100
2016,Croatia,15+,,,MALE,<100
2016,Croatia,ALLAGE,,,BOTHSEX,<100
2017,Croatia,ALLAGE,,,BOTHSEX,<100
2017,Croatia,15+,,,FEMALE,<100
2017,Croatia,15+,,,MALE,<100
2018,Croatia,ALLAGE,,,BOTHSEX,<100
2018,Croatia,15+,,,MALE,<100
2018,Croatia,15+,,,FEMALE,<100
2018,Latvia,ALLAGE,,,BOTHSEX,<100
2019,Latvia,ALLAGE,,,BOTHSEX,<100
2019,Latvia,15+,,,FEMALE,<100
2019,Latvia,15+,,,MALE,<100
2020,Latvia,15+,,,FEMALE,<100
2020,Latvia,15+,,,MALE,<100
