Year,GeoAreaName,Age,Freq,Sex,Value
2016,Lithuania,15+,,FEMALE,179.8
2016,Lithuania,15+,,MALE,137.6
2017,Lithuania,15+,,MALE,116.9
2017,Lithuania,ALLAGE,,BOTHSEX,348.7
2017,Lithuania,15+,,FEMALE,168.9
2018,Lithuania,15+,,FEMALE,144.7
2018,Lithuania,15+,,MALE,104.6
2018,Lithuania,ALLAGE,,BOTHSEX,299.4
2018,Georgia,ALLAGE,,BOTHSEX,1531.3
2019,Georgia,ALLAGE,,BOTHSEX,1586.3
2019,Georgia,15+,,FEMALE,688.2
2019,Georgia,15+,,MALE,564.8
2020,Georgia,15+,,MALE,520.3
2020,Georgia,ALLAGE,,BOTHSEX,1548.2
2020,Georgia,15+,,FEMALE,697.3
2015,Germany,15+,,FEMALE,1589.9
2015,Germany,ALLAGE,,BOTHSEX,3331.8
2015,Germany,15+,,MALE,1089.4
2016,Germany,15+,,FEMALE,1226.1
2016,Germany,ALLAGE,,BOTHSEX,3095.3
2016,Germany,15+,,MALE,1208.3
2017,Germany,15+,,MALE,1288.8
2017,Germany,15+,,FEMALE,1006.2
2017,Germany,ALLAGE,,BOTHSEX,2994.6
2018,Germany,15+,,FEMALE,977.9
2018,Germany,ALLAGE,,BOTHSEX,2935.8
2019,Lithuania,15+,,MALE,<100
2019,Lithuania,15+,,FEMALE,128.6
2019,Lithuania,ALLAGE,,BOTHSEX,313
2020,Lithuania,15+,,FEMALE,114
2020,Lithuania,15+,,MALE,<100
2020,Lithuania,ALLAGE,,BOTHSEX,267.9
2015,Luxembourg,15+,,FEMALE,<100
2015,Luxembourg,15+,,MALE,<100
2015,Luxembourg,ALLAGE,,BOTHSEX,<100
2016,Luxembourg,15+,,FEMALE,<100
2016,Luxembourg,ALLAGE,,BOTHSEX,<100
2016,Luxembourg,15+,,MALE,<100
2017,Luxembourg,15+,,MALE,<100
2017,Luxembourg,15+,,FEMALE,<100
2017,Luxembourg,ALLAGE,,BOTHSEX,<100
2018,Luxembourg,ALLAGE,,BOTHSEX,<100
2018,Luxembourg,15+,,MALE,<100
2018,Luxembourg,15+,,FEMALE,<100
2018,Germany,15+,,MALE,1279.5
2019,Germany,ALLAGE,,BOTHSEX,2853.6
2019,Germany,15+,,MALE,1193
2019,Germany,15+,,FEMALE,1055.7
2020,Germany,15+,,MALE,1224.1
2020,Germany,ALLAGE,,BOTHSEX,2923.8
2020,Germany,15+,,FEMALE,1173.3
2015,Greece,15+,,FEMALE,710.7
2015,Greece,15+,,MALE,685
2015,Greece,ALLAGE,,BOTHSEX,1680.4
2016,Greece,15+,,MALE,710.5
2016,Greece,ALLAGE,,BOTHSEX,1741.7
2016,Greece,15+,,FEMALE,735.1
2017,Greece,ALLAGE,,BOTHSEX,1752.7
2017,Greece,15+,,FEMALE,737.7
2017,Greece,15+,,MALE,735.8
2018,Greece,ALLAGE,,BOTHSEX,1396.1
2019,Luxembourg,ALLAGE,,BOTHSEX,<100
2019,Luxembourg,15+,,FEMALE,<100
2019,Luxembourg,15+,,MALE,<100
2020,Luxembourg,15+,,FEMALE,<100
2020,Luxembourg,15+,,MALE,<100
2020,Luxembourg,ALLAGE,,BOTHSEX,<100
2015,Malta,ALLAGE,,BOTHSEX,<100
2015,Malta,15+,,MALE,<100
2015,Malta,15+,,FEMALE,<100
2018,Greece,15+,,MALE,561.2
2018,Greece,15+,,FEMALE,706.8
2019,Greece,15+,,MALE,531.5
2019,Greece,15+,,FEMALE,688.2
2019,Greece,ALLAGE,,BOTHSEX,902.9
2020,Greece,ALLAGE,,BOTHSEX,708.7
2020,Greece,15+,,FEMALE,757
2020,Greece,15+,,MALE,579.3
2016,Malta,15+,,MALE,<100
2016,Malta,15+,,FEMALE,<100
2016,Malta,ALLAGE,,BOTHSEX,<100
2017,Malta,ALLAGE,,BOTHSEX,<100
2017,Malta,15+,,MALE,<100
2017,Malta,15+,,FEMALE,<100
2018,Malta,15+,,MALE,<100
2018,Malta,15+,,FEMALE,<100
2018,Malta,ALLAGE,,BOTHSEX,<100
2019,Malta,ALLAGE,,BOTHSEX,<100
2019,Malta,15+,,MALE,<100
2019,Malta,15+,,FEMALE,<100
2020,Malta,15+,,FEMALE,<100
