Year,GeoAreaName,Disability status,Sex,Value
2009,Luxembourg,_T,BOTHSEX,7.4
2009,Luxembourg,_T,FEMALE,9.57
2009,Luxembourg,PD,MALE,27.98
2009,Luxembourg,_T,MALE,5.79
2009,Luxembourg,PWD,FEMALE,8.8
2009,Luxembourg,PD,FEMALE,30.46
2010,Luxembourg,_T,BOTHSEX,6.64
2010,Luxembourg,_T,FEMALE,6.71
2011,Sweden,_T,MALE,7.93
2011,Sweden,PWD,FEMALE,6.65
2011,Sweden,PWD,BOTHSEX,7.12
2011,Sweden,PD,BOTHSEX,29.78
2011,Sweden,PD,FEMALE,34.18
2011,Sweden,_T,FEMALE,7.53
2012,Sweden,PD,FEMALE,23.31
2012,Sweden,PD,MALE,18.78
2012,Sweden,PWD,MALE,7.97
2014,Estonia,PD,MALE,14.64
2014,Estonia,PWD,MALE,9.31
2014,Estonia,_T,BOTHSEX,7.72
2014,Estonia,PWD,BOTHSEX,7.61
2014,Estonia,PD,BOTHSEX,11.63
2015,Estonia,PD,BOTHSEX,9.7
2015,Estonia,_T,BOTHSEX,6.2
2015,Estonia,PWD,BOTHSEX,6.1
2010,Luxembourg,PD,BOTHSEX,25.82
2010,Luxembourg,PWD,MALE,5.92
2010,Luxembourg,_T,MALE,6.58
2010,Luxembourg,PD,FEMALE,23.86
2010,Luxembourg,PWD,BOTHSEX,5.95
2010,Luxembourg,PWD,FEMALE,5.97
2010,Luxembourg,PD,MALE,27.94
2011,Luxembourg,PD,FEMALE,28.44
2011,Luxembourg,PD,BOTHSEX,32.66
2016,Estonia,_T,BOTHSEX,6.82
2016,Estonia,PWD,BOTHSEX,6.76
2016,Estonia,PD,FEMALE,8.45
2016,Estonia,PD,BOTHSEX,9.11
2016,Estonia,PD,MALE,9.84
2016,Estonia,PWD,MALE,7.47
2016,Estonia,_T,MALE,7.53
2016,Estonia,PWD,FEMALE,6.01
2016,Estonia,_T,FEMALE,6.07
2017,Estonia,PD,BOTHSEX,9.8
2017,Estonia,PWD,MALE,7.05
2017,Estonia,PWD,FEMALE,4.18
2017,Estonia,_T,BOTHSEX,5.78
2017,Estonia,PWD,BOTHSEX,5.65
2017,Estonia,PD,MALE,13.67
2017,Estonia,_T,FEMALE,4.26
2017,Estonia,_T,MALE,7.23
2017,Estonia,PD,FEMALE,6.54
2012,Sweden,PWD,FEMALE,6.8
