Year,GeoAreaName,Migratory status,Sex,Value
2020,Poland,_T,MALE,2.46
2020,Poland,_T,FEMALE,0.11
2020,Poland,_T,BOTHSEX,1.38
2000,Portugal,_T,FEMALE,1.1
2000,Portugal,_T,MALE,14.3
2000,Portugal,_T,BOTHSEX,8.7
2008,Azerbaijan,_T,MALE,14.0
2016,Azerbaijan,_T,FEMALE,1.0
2016,Azerbaijan,_T,BOTHSEX,4.0
2016,Azerbaijan,_T,MALE,6.0
2017,Azerbaijan,_T,MALE,6.0
2017,Azerbaijan,_T,FEMALE,1.0
2017,Azerbaijan,_T,BOTHSEX,4.0
2007,Czechia,_T,BOTHSEX,4.1
2008,Czechia,_T,FEMALE,0.4
2008,Czechia,_T,MALE,6.8
2008,Czechia,_T,BOTHSEX,3.8
2009,Czechia,_T,FEMALE,0.38
2009,Czechia,_T,MALE,3.36
2009,Czechia,NONMIG,MALE,3.16
2009,Czechia,NONMIG,BOTHSEX,1.97
2009,Czechia,NONMIG,FEMALE,0.38
2009,Czechia,_T,BOTHSEX,2.09
2010,Czechia,_T,BOTHSEX,2.48
2010,Czechia,_T,MALE,3.93
2010,Czechia,NONMIG,MALE,3.49
2010,Czechia,NONMIG,FEMALE,0.53
2010,Czechia,_T,FEMALE,0.53
2001,Portugal,_T,FEMALE,0.7
2001,Portugal,_T,BOTHSEX,8.3
2001,Portugal,_T,MALE,14.0
2002,Portugal,_T,MALE,13.4
2002,Portugal,_T,FEMALE,0.9
2002,Portugal,_T,BOTHSEX,8.1
2003,Portugal,_T,FEMALE,0.7
2003,Portugal,_T,MALE,11.7
2010,Czechia,NONMIG,BOTHSEX,2.22
2011,Czechia,_T,FEMALE,0.44
2011,Czechia,NONMIG,MALE,4.94
2011,Czechia,NONMIG,BOTHSEX,2.99
2011,Czechia,NONMIG,FEMALE,0.45
2011,Czechia,_T,MALE,5.32
2011,Czechia,_T,BOTHSEX,3.2
2003,Portugal,_T,BOTHSEX,7.1
2004,Portugal,_T,MALE,12.0
2004,Portugal,_T,BOTHSEX,7.0
2004,Portugal,_T,FEMALE,0.4
2005,Portugal,_T,FEMALE,0.7
2005,Portugal,_T,MALE,11.7
2005,Portugal,_T,BOTHSEX,7.0
2006,Portugal,_T,FEMALE,0.4
2012,Czechia,_T,FEMALE,0.1
2012,Czechia,NONMIG,FEMALE,0.1
2012,Czechia,_T,MALE,4.13
2012,Czechia,_T,BOTHSEX,2.37
2012,Czechia,NONMIG,BOTHSEX,2.24
2012,Czechia,NONMIG,MALE,3.9
2013,Czechia,_T,FEMALE,0.37
2006,Portugal,_T,MALE,12.0
2006,Portugal,_T,BOTHSEX,6.0
2007,Portugal,_T,FEMALE,0.4
2007,Portugal,_T,BOTHSEX,6.3
2007,Portugal,_T,MALE,10.8
2009,Portugal,NONMIG,MALE,7.44
2009,Portugal,_T,MALE,7.7
2009,Portugal,NONMIG,BOTHSEX,4.09
2009,Portugal,_T,BOTHSEX,4.21
2009,Portugal,NONMIG,FEMALE,0.26
2009,Portugal,_T,FEMALE,0.25
2010,Portugal,_T,FEMALE,0.26
2010,Portugal,NONMIG,BOTHSEX,4.14
2013,Czechia,NONMIG,BOTHSEX,2.15
2013,Czechia,NONMIG,MALE,3.58
2013,Czechia,NONMIG,FEMALE,0.28
2013,Czechia,_T,MALE,3.79
2013,Czechia,_T,BOTHSEX,2.31
2014,Czechia,_T,FEMALE,0.09
2014,Czechia,_T,MALE,4.19
2010,Portugal,_T,BOTHSEX,4.28
2010,Portugal,_T,MALE,7.83
2010,Portugal,NONMIG,MALE,7.54
2010,Portugal,NONMIG,FEMALE,0.27
2011,Portugal,_T,BOTHSEX,5.12
2011,Portugal,NONMIG,BOTHSEX,4.74
2011,Portugal,NONMIG,MALE,7.75
2011,Portugal,_T,FEMALE,0.57
2011,Portugal,_T,MALE,8.33
2011,Portugal,NONMIG,FEMALE,0.46
2012,Portugal,NONMIG,MALE,7.66
2012,Portugal,_T,BOTHSEX,4.8
2014,Czechia,NONMIG,MALE,3.81
2014,Czechia,NONMIG,FEMALE,0.09
