Year,GeoAreaName,Type of waste treatment,Value
2005,Estonia,INCINRT_EGY,0.0
2006,Estonia,INCINRT,0.0
2006,Estonia,INCINRT_EGY,1000.0
2007,Estonia,INCINRT_EGY,2000.0
2004,Armenia,LANDFIL,377000.0
2004,Armenia,LANDFILCTL,377000.0
2005,Armenia,LANDFIL,374600.006
2005,Armenia,LANDFILCTL,374600.006
2005,Armenia,OTHERWM,374600.006
2006,Armenia,LANDFILCTL,381000.0
2006,Armenia,OTHERWM,381000.0
2006,Armenia,LANDFIL,381000.0
2007,Armenia,LANDFIL,391899.994
2007,Armenia,OTHERWM,391899.994
2007,Armenia,LANDFILCTL,391899.994
2008,Armenia,OTHERWM,385899.994
2007,Estonia,INCINRT,0.0
2008,Estonia,INCINRT_EGY,1000.0
2008,Estonia,INCINRT,0.0
2009,Estonia,INCINRT_EGY,1000.0
2009,Estonia,INCINRT,0.0
2010,Estonia,INCINRT,0.0
2010,Estonia,INCINRT_EGY,0.0
2011,Estonia,INCINRT,0.0
2011,Estonia,INCINRT_EGY,0.0
2012,Estonia,INCINRT_EGY,47000.0
2012,Estonia,INCINRT,0.0
2013,Estonia,INCINRT_EGY,214000.0
2013,Estonia,INCINRT,0.0
2016,Serbia,INCINRT,0.0
2016,Serbia,INCINRT_EGY,0.0
2017,Serbia,INCINRT_EGY,0.0
2017,Serbia,INCINRT,0.0
2018,Serbia,INCINRT_EGY,0.0
2018,Serbia,INCINRT,0.0
2019,Serbia,INCINRT,0.0
2000,Slovakia,INCINRT_EGY,209000.0
2000,Slovakia,INCINRT,5000.0
2001,Slovakia,INCINRT_EGY,133000.0
2001,Slovakia,INCINRT,4000.0
2002,Slovakia,INCINRT,65000.0
2002,Slovakia,INCINRT_EGY,156000.0
2008,Armenia,LANDFILCTL,385899.994
2008,Armenia,LANDFIL,385899.994
2009,Armenia,LANDFIL,410899.994
2009,Armenia,OTHERWM,410899.994
2009,Armenia,LANDFILCTL,410899.994
2010,Armenia,LANDFILCTL,387100.006
2010,Armenia,LANDFIL,387100.006
2010,Armenia,OTHERWM,387100.006
2011,Armenia,LANDFILCTL,395500.0
2011,Armenia,OTHERWM,395500.0
2011,Armenia,LANDFIL,395500.0
2012,Armenia,OTHERWM,408100.006
2014,Estonia,INCINRT_EGY,222000.0
2014,Estonia,INCINRT,0.0
2015,Estonia,INCINRT_EGY,243000.0
2015,Estonia,INCINRT,0.0
2016,Estonia,INCINRT_EGY,242000.0
2016,Estonia,INCINRT,0.0
2017,Estonia,INCINRT,0.0
2017,Estonia,INCINRT_EGY,217000.0
2018,Estonia,INCINRT_EGY,221000.0
2018,Estonia,INCINRT,0.0
2019,Estonia,INCINRT,0.0
2019,Estonia,INCINRT_EGY,221000.0
2020,Estonia,INCINRT,0.0
2012,Armenia,LANDFIL,408100.006
2012,Armenia,LANDFILCTL,408100.006
2013,Armenia,LANDFILCTL,517690.002
2013,Armenia,LANDFIL,517690.002
2013,Armenia,OTHERWM,517690.002
2014,Armenia,LANDFILCTL,517099.976
2014,Armenia,LANDFIL,517099.976
2014,Armenia,OTHERWM,517099.976
2015,Armenia,LANDFILCTL,492799.988
2015,Armenia,LANDFIL,492799.988
2015,Armenia,OTHERWM,492799.988
2016,Armenia,LANDFIL,499700.012
2020,Estonia,INCINRT_EGY,218000.0
2021,Estonia,INCINRT_EGY,255000.0
2021,Estonia,INCINRT,0.0
2001,Finland,INCINRT_EGY,215000.0
2001,Finland,INCINRT,1000.0
2002,Finland,INCINRT_EGY,216000.0
2002,Finland,INCINRT,52000.0
2003,Finland,INCINRT,54000.0
2003,Finland,INCINRT_EGY,256000.0
2004,Finland,INCINRT_EGY,285000.0
2004,Finland,INCINRT,51000.0
2005,Finland,INCINRT_EGY,227000.0
2005,Finland,INCINRT,51000.0
2003,Slovakia,INCINRT_EGY,162000.0
2003,Slovakia,INCINRT,67000.0
2004,Slovakia,INCINRT,68000.0
2004,Slovakia,INCINRT_EGY,184000.0
2005,Slovakia,INCINRT,181000.0
2005,Slovakia,INCINRT_EGY,183000.0
2006,Slovakia,INCINRT_EGY,190000.0
2006,Slovakia,INCINRT,190000.0
2007,Slovakia,INCINRT_EGY,180000.0
2007,Slovakia,INCINRT,64000.0
2008,Slovakia,INCINRT_EGY,157000.0
2008,Slovakia,INCINRT,0.0
2009,Slovakia,INCINRT,3000.0
2006,Finland,INCINRT_EGY,222000.0
2006,Finland,INCINRT,54000.0
2007,Finland,INCINRT_EGY,310000.0
2007,Finland,INCINRT,74000.0
2008,Finland,INCINRT,131000.0
2008,Finland,INCINRT_EGY,478000.0
2009,Finland,INCINRT,114000.0
2009,Finland,INCINRT_EGY,463000.0
2010,Finland,INCINRT,115000.0
2010,Finland,INCINRT_EGY,556000.0
2011,Finland,INCINRT,0.0
2011,Finland,INCINRT_EGY,678000.0
2012,Finland,INCINRT,0.0
2009,Slovakia,INCINRT_EGY,183000.0
2010,Slovakia,INCINRT_EGY,183000.0
2010,Slovakia,INCINRT,12000.0
2011,Slovakia,INCINRT_EGY,186000.0
2011,Slovakia,INCINRT,4000.0
2012,Slovakia,INCINRT,4000.0
2012,Slovakia,INCINRT_EGY,168000.0
2013,Slovakia,INCINRT_EGY,174000.0
2013,Slovakia,INCINRT,0.0
2014,Slovakia,INCINRT,4000.0
2014,Slovakia,INCINRT_EGY,190000.0
2015,Slovakia,INCINRT,0.0
2015,Slovakia,INCINRT_EGY,191000.0
2016,Armenia,OTHERWM,499700.012
2016,Armenia,LANDFILCTL,499700.012
2017,Armenia,OTHERWM,493899.994
2017,Armenia,LANDFIL,493899.994
2017,Armenia,LANDFILCTL,493899.994
2018,Armenia,LANDFIL,469899.994
2018,Armenia,LANDFILCTL,469899.994
2018,Armenia,OTHERWM,469899.994
2019,Armenia,OTHERWM,472799.988
2019,Armenia,LANDFILCTL,472799.988
2019,Armenia,LANDFIL,472799.988
2000,Belgium,INCINRT_EGY,1622000.0
2012,Finland,INCINRT_EGY,925000.0
2013,Finland,INCINRT,0.0
2013,Finland,INCINRT_EGY,1137000.0
2014,Finland,INCINRT_EGY,1316000.0
2014,Finland,INCINRT,0.0
2015,Finland,INCINRT,0.0
2015,Finland,INCINRT_EGY,1312000.0
2016,Finland,INCINRT,0.0
2016,Finland,INCINRT_EGY,1515000.0
2017,Finland,INCINRT_EGY,1646000.0
2017,Finland,INCINRT,0.0
2018,Finland,INCINRT,1000.0
2018,Finland,INCINRT_EGY,1733000.0
2016,Slovakia,INCINRT_EGY,197000.0
2016,Slovakia,INCINRT,0.0
2017,Slovakia,INCINRT_EGY,197000.0
2017,Slovakia,INCINRT,0.0
2018,Slovakia,INCINRT_EGY,187000.0
2018,Slovakia,INCINRT,30000.0
2019,Slovakia,INCINRT_EGY,211000.0
2019,Slovakia,INCINRT,85000.0
2020,Slovakia,INCINRT,0.0
2020,Slovakia,INCINRT_EGY,193000.0
2021,Slovakia,INCINRT,0.0
2021,Slovakia,INCINRT_EGY,220000.0
2000,Slovenia,INCINRT_EGY,0.0
2000,Belgium,INCINRT,147000.0
2001,Belgium,INCINRT_EGY,1549000.0
2001,Belgium,INCINRT,164000.0
2002,Belgium,INCINRT,195000.0
2002,Belgium,INCINRT_EGY,1759000.0
2003,Belgium,INCINRT_EGY,1805000.0
