Year,GeoAreaName,Age,Freq,Location,Sex,Type of speed,Value
2021,Cyprus,,,,,10MBPS,335492.0
2021,Cyprus,,,,,2MT10MBPS,4574.0
2021,Cyprus,,,,,256KT2MBPS,708.0
2000,Czechia,,,,,ANYS,2500.0
2001,Czechia,,,,,ANYS,6200.0
2002,Czechia,,,,,ANYS,15300.0
2003,Czechia,,,,,ANYS,34690.0
2004,Czechia,,,,,ANYS,235996.0
2005,Czechia,,,,,ANYS,709063.0
2006,Czechia,,,,,ANYS,1112500.0
2017,Liechtenstein,,,,,ANYS,16253.0
2017,Liechtenstein,,,,,10MBPS,15165.0
2017,Liechtenstein,,,,,2MT10MBPS,1080.0
2017,Liechtenstein,,,,,256KT2MBPS,8.0
2018,Liechtenstein,,,,,ANYS,16712.0
2018,Liechtenstein,,,,,10MBPS,14961.0
2018,Liechtenstein,,,,,2MT10MBPS,1730.0
