Year,GeoAreaName,Name of non-communicable disease,Sex,Value
2019,Iceland,CAR,MALE,370
2019,Iceland,CAN,BOTHSEX,640
2019,Iceland,RES,BOTHSEX,149
2019,Iceland,CAR,BOTHSEX,699
2010,Czechia,DIA,BOTHSEX,1987
2010,Czechia,RES,MALE,2112
2010,Czechia,CAR,FEMALE,29715
2010,Czechia,RES,BOTHSEX,3587
2010,Czechia,CAN,BOTHSEX,28507
2010,Czechia,CAR,BOTHSEX,53936
2010,Czechia,CAR,MALE,24221
2010,Czechia,CAN,MALE,16092
2010,Czechia,DIA,MALE,880
2015,Armenia,RES,FEMALE,753
2015,Armenia,DIA,FEMALE,815
2019,Armenia,RES,FEMALE,428
2019,Armenia,CAN,MALE,2826
2019,Armenia,CAR,FEMALE,6826
2019,Armenia,RES,MALE,536
2019,Armenia,CAN,FEMALE,2279
2019,Armenia,DIA,MALE,309
2019,Armenia,DIA,BOTHSEX,808
2010,Czechia,RES,FEMALE,1475
2010,Czechia,CAN,FEMALE,12415
2010,Czechia,DIA,FEMALE,1107
2015,Czechia,CAN,BOTHSEX,27337
2015,Czechia,CAN,FEMALE,12236
2015,Czechia,RES,BOTHSEX,5079
2015,Czechia,DIA,BOTHSEX,3793
2015,Czechia,CAR,BOTHSEX,51288
2015,Czechia,CAR,MALE,23461
2015,Albania,RES,BOTHSEX,814
2015,Albania,CAN,MALE,2901
2015,Albania,CAR,FEMALE,6768
2015,Albania,DIA,FEMALE,104
2015,Albania,RES,FEMALE,308
2015,Albania,CAR,MALE,6545
2015,Albania,CAN,FEMALE,1751
2015,Albania,DIA,BOTHSEX,201
2015,Albania,CAR,BOTHSEX,13313
2019,Iceland,CAN,FEMALE,303
2019,Iceland,DIA,FEMALE,11
2019,Iceland,RES,FEMALE,85
2000,Ireland,DIA,BOTHSEX,400
2000,Ireland,CAR,BOTHSEX,12120
2000,Ireland,RES,MALE,1350
2000,Ireland,CAR,MALE,6111
2000,Ireland,CAN,MALE,3930
2000,Ireland,DIA,MALE,209
2015,Czechia,CAN,MALE,15101
2015,Czechia,DIA,MALE,1717
2015,Czechia,RES,MALE,3002
2015,Czechia,CAR,FEMALE,27827
2015,Czechia,DIA,FEMALE,2076
2015,Czechia,RES,FEMALE,2076
2019,Czechia,RES,FEMALE,2102
2019,Czechia,CAN,FEMALE,12808
2019,Czechia,RES,MALE,2957
2019,Czechia,CAN,MALE,16045
2019,Czechia,CAR,MALE,22584
2019,Czechia,DIA,FEMALE,2314
2019,Czechia,CAR,FEMALE,25363
2019,Czechia,DIA,BOTHSEX,4378
2019,Czechia,RES,BOTHSEX,5059
2019,Czechia,CAR,BOTHSEX,47946
2019,Czechia,CAN,BOTHSEX,28853
2019,Czechia,DIA,MALE,2064
2000,Ireland,CAN,BOTHSEX,7430
2000,Ireland,RES,BOTHSEX,2551
2000,Ireland,DIA,FEMALE,190
2000,Ireland,CAR,FEMALE,6009
2000,Ireland,CAN,FEMALE,3500
2000,Ireland,RES,FEMALE,1201
2005,Ireland,DIA,BOTHSEX,447
2005,Ireland,CAN,MALE,3858
2005,Ireland,DIA,MALE,229
2005,Ireland,CAR,BOTHSEX,9534
